keyword,date,page,position,title,author,publisher,pages,publication_date,sales_rank,image,asin,,,,,,,
drug history,00:26.4,9,81,Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present,Harriet A. Washington,Anchor,530,00:00.0,27167,https://images-na.ssl-images-amazon.com/images/I/419Yl4ougaL._SL75_.jpg,B0010SEOYE,,,,,,,
drug history,00:26.4,9,85,Healing with CBD: How Cannabidiol Can Transform Your Health without the High,Eileen Konieczny,Ulysses Press,NULL,00:00.0,84430,https://images-na.ssl-images-amazon.com/images/I/419B-c9ncrL._SL75_.jpg,B07BJ3K89T,,,,,,,
drug history,00:26.4,9,89,The Pearl that Broke Its Shell: A Novel,Nadia Hashimi,William Morrow,469,00:00.0,30083,https://images-na.ssl-images-amazon.com/images/I/51k-v77sfzL._SL75_.jpg,B00FJ350AI,,,,,,,
drug history,00:27.5,10,93,Slouching Towards Bethlehem: Essays,Joan Didion,Open Road Media,256,00:00.0,26541,https://images-na.ssl-images-amazon.com/images/I/51z7k288AEL._SL75_.jpg,B06XRSTBMN,,,,,,,
drug history,00:27.5,10,97,Trap Line,Carl Hiaasen,Open Road Media Mystery & Thriller,224,00:00.0,20097,https://images-na.ssl-images-amazon.com/images/I/51SC%2BQb-nGL._SL75_.jpg,B00BBPW90C,,,,,,,
drug history,27:20.4,1,1,A Brief History of Vice: How Bad Behavior Built Civilization,Robert Evans,Plume,270,00:00.0,86488,https://images-na.ssl-images-amazon.com/images/I/51MdA5o5rIL._SL75_.jpg,B01839Q4ZE,,,,,,,
drug history,27:20.4,1,2,"The Drug Book: From Arsenic to Xanax, 250 Milestones in the History of Drugs (Sterling Milestones)",Michael C. Gerald,Sterling,528,00:00.0,769892,https://images-na.ssl-images-amazon.com/images/I/51k7xBhLBPL._SL75_.jpg,B0751HJ28R,,,,,,,
drug history,27:20.4,1,3,"Ten Drugs: How Plants, Powders, and Pills Have Shaped the History of Medicine",Thomas Hager,Abrams Press,308,00:00.0,41399,https://images-na.ssl-images-amazon.com/images/I/41Bs36jwEwL._SL75_.jpg,B07H1FT3PW,,,,,,,
drug history,27:20.4,1,4,"A Narco History: How the United States and Mexico Jointly Created the Mexican Drug War""""",Carmen Boullosa,OR Books,255,00:00.0,436415,https://images-na.ssl-images-amazon.com/images/I/61AxHTtB1dL._SL75_.jpg,B01LZ3PB8B,,,,,,,
drug history,27:20.4,1,5,Shooting Up: A Short History of Drugs and War,Lukasz Kamienski,Oxford University Press,411,00:00.0,166966,https://images-na.ssl-images-amazon.com/images/I/519hatNWTiL._SL75_.jpg,B01B1EYC70,,,,,,,
